"user_uuid"	"user_id"	"user_name"	"user_password"	"user_description"	"user_birthday"	"user_status"	"user_role"
"0105f0751c2f4bea888fc0508a8aea2b"	"系统管理员"	"a2"	"aaa"	"aaa"	"1999/11/11"	"1"	"1"
"1c939d19957b470faa7f108d8968652d"	"系统管理员"	"a2"	"aaa"	"aaa"	"1999/11/11"	"1"	"1"
"31521137d2164b38aa6514bdca531e5b"	"系统管理员"	"a6"	"a"	"a"	"1111/11/11"	"1"	"1"
"36d1d067e27144f2b7495401cb51109e"	"系统管理员"	"a2"	"aaa"	"aaa"	"1999/11/11"	"1"	"1"
"3c8ad4ab4d9b4952a088fccf2f6d9026"	"系统管理员"	"a11"	"aaa"	"aaa"	"1999/11/11"	"1"	"1"
"3e5591f26cb54fb1a013f39ec9fd8dc3"	"lisi"	"李四"	"123456"	"我是李四"	"1967/3/25"	"1"	"1"
"44b4e98b8e754ab797cafc5364aa749a"	"zhangsan"	"张三"	"123456"	"我是张三"	"0187/12/9"	"1"	"1"
"45ed53a96ba94811b96dd402bd50e64e"	"wangwu"	"王五"	"123456"	"我是王五"	"1956/6/26"	"1"	"2"
"4c9e48ad28854e0b9957751fd0b745e7"	"系统管理员"	"a111"	"aaa"	"aaa"	"1999/11/11"	"1"	"1"
"4fd5e1ae761d4683ae1914692cce8113"	"系统管理员"	"a2"	"aaa"	"aaa"	"1999/11/11"	"1"	"1"
"51263458362449039b7d916cbd44aaaa"	"mazi"	"麻子"	"123456"	"我是麻子"	"1947/9/19"	"2"	"2"
"5f4b5984dcd146bc90ff2714c6e1d2ea"	"系统管理员"	"a12"	"aaa"	"aaa"	"1999/11/11"	"1"	"1"
"6838905ac3034836a82beecb96184f67"	"系统管理员"	"a2"	"aaa"	"aaa"	"1999/11/11"	"1"	"1"
"6a1c4438ea7c44d4a3610a7511d35249"	"系统管理员"	"a6"	"a"	"a"	"1111/11/11"	"1"	"1"
"734b38104d0048d690acb6c9441f7ccd"	"系统管理员"	"a2"	"aaa"	"aaa"	"1999/11/11"	"1"	"1"
"8f0631c41f7a43ce8526bf0b12bc4685"	"系统管理员"	"a123"	"aaa"	"aaa"	"1999/11/11"	"1"	"1"
"92ba41944bd8447ab60afa07bba9724c"	"系统管理员"	"a2"	"aaa"	"aaa"	"1999/11/11"	"1"	"1"
"9396d7add5fc402bbbed094cf20dd26f"	"系统管理员"	"a7"	"aaa"	"aaa"	"1999/11/11"	"1"	"1"
"97a794bc66aa448f85208dfd1c4739df"	"系统管理员"	"a3"	"a"	"a"	"1111/11/11"	"1"	"1"
"9be075cd52724b78b0e1362f58ee11df"	"系统管理员"	"a6"	"a"	"a"	"1111/11/11"	"1"	"1"
"9e5d34c769ac4f83b857fe1dd8b33e74"	"系统管理员"	"a2"	"aaa"	"aaa"	"1999/11/11"	"1"	"1"
"9f84b8c2ccbe485896fdf845cf96075a"	"系统管理员"	"a22"	"aaa"	"aaa"	"1999/11/11"	"1"	"1"
"a243a94d44f046f2904b8d006788d668"	"系统管理员"	"a2"	"aaa"	"aaa"	"1999/11/11"	"1"	"1"
"a4a9678b04a544259640791103ebd946"	"系统管理员"	"a3"	"a"	"a"	"1111/11/11"	"1"	"1"
"a73a2a62f7054df6a641ae4846467806"	"系统管理员"	"a2"	"aaa"	"aaa"	"1999/11/11"	"1"	"1"
"a80952d5a9f14cfb95ac771ce4bf5888"	"系统管理员"	"a3"	"a"	"a"	"1111/11/11"	"1"	"1"
"ac33fa1080404dd6b17f1c7dc1e1a7a4"	"sfaaf1111"	"dsdss"	"123456"	"dssf"	"2012/11/21"	"1"	"1"
"b4980d206a3d435e9475828752bcf79e"	"系统管理员"	"a11"	"aaa"	"aaa"	"1999/11/11"	"1"	"1"
"c229678b5cce4058a6ec84c5b000f5c5"	"系统管理员"	"a2"	"aaa"	"aaa"	"1999/11/11"	"1"	"1"
"c2e4cb6aa8a5494baba5e7e70d9585f4"	"系统管理员"	"a2"	"aaa"	"aaa"	"1999/11/11"	"1"	"1"
"cbbf17f645714a9496e963f626e5a57b"	"系统管理员"	"a4"	"aaa"	"aaa"	"1111/11/11"	"a"	"a"
"d8813bd20fc74165945265cd61b46fe7"	"系统管理员"	"a2"	"aaa"	"aaa"	"1999/11/11"	"1"	"1"
"d95f44d2c6f148198eac10f22fb5a07c"	"系统管理员"	"a2"	"aaa"	"aaa"	"1999/11/11"	"1"	"1"
"e432480b3d454e19943493c592b9149d"	"zhaoliu"	"赵六"	"123456"	"我是赵六"	"1976/12/19"	"2"	"3"
"e6b042e1164646e8a7c3f8019b02ddbd"	"系统管理员"	"a12"	"aaa"	"aaa"	"1999/11/11"	"1"	"1"
"ea3dddcb37054d54bd743cf94e0f7cfb"	"sfaaf1"	"dsdss"	"123456"	"dssf"	"2012/11/21"	"1"	"1"
"ea9e6d845b7842af922afbe58c5aff37"	"xuan"	"轩轩"	"123456"	"dssf"	"2012/11/21"	"1"	"1"
"f5070894337a446d9c914219a5c14f7c"	"系统管理员"	"a7"	"aaa"	"aaa"	"1999/11/11"	"1"	"1"
"fa437b82ecf34b3ea047e909cfb51cd6"	"系统管理员"	"a2"	"aaa"	"aaa"	"1999/11/11"	"1"	"1"
"fce16b2cf0a949cc9fa40e1c0c1209f0"	"系统管理员"	"a2"	"aaa"	"aaa"	"1999/11/11"	"1"	"1"
